                
(-12.6, -65.0, 49.9) (0.0, 0.0, 0.0) (0.3, 0.1, 0.1, 1.0) (-12.6, -65.0, 49.9) (-0.3, 0.0, 3.4) (1.0, -0.3, 0.1, 0.1) (1.8, 0.0, -0.3) False False 0 False False  (-1111.1, -1111.1, -1111.1) (-1111.1, -1111.1, -1111.1) (-0.29719, -0.02710, 3.42735) (0.95447, -0.26703, 0.10366, 0.08330) 1(1.0, 1.0, 1.0)Wood 1.599999
(-12.6, -65.0, 49.9) (0.0, 0.0, 0.0) (0.3, 0.1, 0.1, 1.0) (-12.6, -65.0, 49.9) (-0.3, 0.0, 3.4) (1.0, -0.3, 0.1, 0.1) (0.0, 0.0, 0.0) False False 0 False False  (-1111.1, -1111.1, -1111.1) (-1111.1, -1111.1, -1111.1) (-0.29719, -0.02710, 3.42735) (0.95447, -0.26703, 0.10366, 0.08330) 1(1.0, 1.0, 1.0)Wood 1.619999
(-12.6, -65.0, 49.9) (0.0, 0.0, 0.0) (0.3, 0.1, 0.1, 1.0) (-12.6, -65.0, 49.9) (-0.3, 0.0, 3.4) (1.0, -0.3, 0.1, 0.1) (1.1, 0.0, -0.2) False False 0 False False  (-1111.1, -1111.1, -1111.1) (-1111.1, -1111.1, -1111.1) (-0.29719, -0.02710, 3.42735) (0.95447, -0.26703, 0.10366, 0.08330) 1(1.0, 1.0, 1.0)Wood 1.639999
(-12.6, -65.0, 49.9) (0.0, 0.0, 0.0) (0.3, 0.1, 0.1, 1.0) (-12.6, -65.0, 49.9) (-0.3, 0.0, 3.4) (1.0, -0.3, 0.1, 0.1) (0.0, 0.0, 0.0) False False 0 False False  (-1111.1, -1111.1, -1111.1) (-1111.1, -1111.1, -1111.1) (-0.29719, -0.02710, 3.42735) (0.95447, -0.26703, 0.10366, 0.08330) 1(1.0, 1.0, 1.0)Wood 1.659999
(-12.6, -65.0, 49.9) (0.0, 0.0, 0.0) (0.3, 0.1, 0.1, 1.0) (-12.6, -65.0, 49.9) (-0.3, 0.0, 3.4) (1.0, -0.3, 0.1, 0.1) (0.0, 0.0, 0.0) False False 0 False False  (-1111.1, -1111.1, -1111.1) (-1111.1, -1111.1, -1111.1) (-0.29719, -0.02710, 3.42735) (0.95447, -0.26703, 0.10366, 0.08330) 1(1.0, 1.0, 1.0)Wood 1.679999
(-12.6, -65.0, 49.9) (0.0, 0.0, 0.0) (0.3, 0.1, 0.1, 1.0) (-12.6, -65.0, 49.9) (-0.3, 0.0, 3.4) (1.0, -0.3, 0.1, 0.1) (0.0, 0.0, 0.0) False False 0 False False  (-1111.1, -1111.1, -1111.1) (-1111.1, -1111.1, -1111.1) (-0.29719, -0.02710, 3.42735) (0.95447, -0.26720, 0.10302, 0.08354) 1(1.0, 1.0, 1.0)Wood 1.699999
(-12.6, -65.0, 49.9) (0.0, 0.0, 0.0) (0.3, 0.1, 0.1, 1.0) (-12.6, -65.0, 49.9) (-0.3, 0.0, 3.4) (1.0, -0.3, 0.1, 0.1) (0.0, 0.0, 0.0) False False 0 False False  (-1111.1, -1111.1, -1111.1) (-1111.1, -1111.1, -1111.1) (-0.29719, -0.02710, 3.42735) (0.95447, -0.26703, 0.10366, 0.08330) 1(1.0, 1.0, 1.0)Wood 1.719999
(-12.6, -65.0, 49.9) (0.0, 0.0, 0.0) (0.3, 0.1, 0.1, 1.0) (-12.6, -65.0, 49.9) (-0.3, 0.0, 3.4) (1.0, -0.3, 0.1, 0.1) (0.0, 0.0, 0.0) False False 0 False False  (-1111.1, -1111.1, -1111.1) (-1111.1, -1111.1, -1111.1) (-0.29719, -0.02710, 3.42735) (0.95447, -0.26703, 0.10366, 0.08330) 1(1.0, 1.0, 1.0)Wood 1.739999
(-12.6, -65.1, 49.9) (-0.3, -0.1, 0.0) (0.3, 0.1, 0.1, 1.0) (-12.6, -65.1, 49.9) (-0.3, 0.0, 3.4) (1.0, -0.3, 0.1, 0.1) (-12.9, -4.8, 1.5) False False 0 False False  (-1111.1, -1111.1, -1111.1) (-1111.1, -1111.1, -1111.1) (-0.29719, -0.02710, 3.42735) (0.95447, -0.26720, 0.10302, 0.08354) 1(1.0, 1.0, 1.0)Wood 1.759999
(-12.6, -65.0, 49.9) (-1.5, -2.4, 0.0) (0.3, 0.1, 0.1, 1.0) (-12.6, -65.0, 49.9) (-0.3, 0.0, 3.4) (1.0, -0.3, 0.1, 0.1) (-62.0, -96.0, 0.4) False False 0 False False  (-1111.1, -1111.1, -1111.1) (-1111.1, -1111.1, -1111.1) (-0.29736, -0.02742, 3.42735) (0.95447, -0.26703, 0.10366, 0.08331) 1(1.0, 1.0, 1.0)Wood 1.779999
(-12.6, -65.0, 49.9) (0.6, 0.0, -0.1) (0.3, 0.1, 0.1, 1.0) (-12.6, -65.0, 49.9) (-0.3, 0.0, 3.4) (1.0, -0.3, 0.1, 0.1) (23.6, -0.3, -3.6) False False 0 False False  (-1111.1, -1111.1, -1111.1) (-1111.1, -1111.1, -1111.1) (-0.29719, -0.02678, 3.42738) (0.95447, -0.26720, 0.10302, 0.08354) 1(1.0, 1.0, 1.0)Wood 1.799999
